Bus Name ,x,y
w18,42.69192964,-75.45488812
w19,42.69227317,-75.4544935
w0195,42.69317214,-75.45426719
w20,42.69380594,-75.45435302
w21,42.69488749,-75.4545505
w22,42.69599095,-75.45462191
w23,42.69692633,-75.45472182
w24,42.69804873,-75.45494545
w25,42.69899295,-75.45501553
w26,42.69993396,-75.45507453
w27,42.70139903,-75.45523211
w28,42.70161537,-75.45523982
w29,42.70256496,-75.45529716
w30,42.70367197,-75.45537829
w31,42.70454811,-75.45544937
ww05,42.69164452,-75.45570921
ww1,42.69168272,-75.45671705
ww011,42.69247352,-75.4566282
ww012,42.69289663,-75.45696717
ww013,42.69351664,-75.45694035
ww014,42.69428647,-75.45729943
ww015,42.69450036,-75.45794919
ww016,42.69468641,-75.45861036
ww2,42.6915802,-75.45768432
ww3,42.69134683,-75.4586469
ww4,42.69087318,-75.46000008
ww045,42.69059274,-75.46091001
ww5,42.69025537,-75.46211332
ww6,42.69009321,-75.46335585
ww7,42.69007251,-75.46397712
ww071,42.69014324,-75.46404082
ww072,42.69102696,-75.46406496
ww073,42.69168297,-75.46400428
ww074,42.69239269,-75.46399791
ww8,42.69002421,-75.46482101
ww9,42.6899658,-75.46573833
ww10,42.6899244,-75.46635892
ww11,42.6898692,-75.46706032
ww12,42.68990518,-75.46846177
ww0121,42.6897684,-75.4684658
ww13,42.68990197,-75.47037452
ww0131,42.69054789,-75.47057066
ww0132,42.69137788,-75.47065381
ww0133,42.69224754,-75.47072925
ww0134,42.69334045,-75.47083687
ww0135,42.69443629,-75.47093444
ww0136,42.69547372,-75.47102429
ww0137,42.69656632,-75.47111783
ww14,42.68985589,-75.47167774
ww15,42.68973661,-75.47306579
ww16,42.68969989,-75.47417253
ww17,42.68967328,-75.47478978
ww18,42.68954143,-75.47501307
ww19,42.68967451,-75.47592368
ww20,42.68978689,-75.47669884
ww21,42.6898936,-75.47747232
ww22,42.68960896,-75.47853649
ww23,42.68910597,-75.47960099
ww24,42.68916586,-75.4807416
ww25,42.68899409,-75.48192546
ww26,42.68884942,-75.4828354
ww27,42.68876021,-75.48373427
ww28,42.68868159,-75.48484873
ww29,42.68847852,-75.48590753
www1,42.68982952,-75.47037553
www2,42.68917276,-75.47048952
www3,42.68855172,-75.47041073
www4,42.68777566,-75.47034703
www5,42.68714993,-75.47054183
www6,42.68613898,-75.47102194
www7,42.68610324,-75.47158923
www8,42.68606,-75.47238
x1,42.67967562,-75.46290692
x2,42.67923566,-75.46196077
x3,42.67875304,-75.46150681
x4,42.67755118,-75.46038598
x5,42.67701753,-75.45951091
